Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count,Student Count,Student to Nurse Ratio
6.608,5,a-phya-i1,2024-25,Belmont - Daniel Butler,00260015,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,261,261.0
6.730666666666667,5,a-phya-i1,2024-25,Belmont - Mary Lee Burbank,00260010,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,238,238.0
5.728,5,a-phya-i1,2024-25,Belmont - Roger E Wellington,00260035,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,426,426.0
6.378666666666667,5,a-phya-i1,2024-25,Belmont - Winn Brook,00260005,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          1.0,304,304.0
5.272,5,a-phya-i1,2024-25,Belmont - Winthrop L Chenery Upper Elementary,00260305,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,          0.0,          2.0,1023,511.5
0,1,a-phya-i1,2024-25,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,352
5.605333333333333,5,a-phya-i1,2024-25,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,          0.0,          0.0,          1.0,          1.0,          0.0,          0.0,          0.0,          2.0,898,449.0
3.104,3.1,a-phya-i1,2024-25,Berkley - Berkley Community School,00270010,          0.0,          0.0,          0.5,          0.0,          0.0,          0.0,          0.0,          0.5,459,918.0
0,1,a-phya-i1,2024-25,Berkley - Berkley Middle School,00270305,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,374
6.058666666666666,5,a-phya-i1,2024-25,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          1.0,364,364.0
