Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Law Enforcement Referral
NA,NA,a-phys-i1,2021-22,Billerica - Thomas Ditson,00310005,     544,       3,"","","","","","",""
5.9506641366223905,5,a-phys-i1,2021-22,Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,"   1,237",      33,   0.1,   2.7,   0.0,   0.0,   0.0,   0.0,   0.0
6.481973434535104,5,a-phys-i1,2021-22,Blackstone-Millville - A F Maloney,06220015,     358,      10,   1.1,   2.0,   0.0,   0.0,   0.0,   0.0,   0.0
2.307400379506641,2.31,a-phys-i1,2021-22,Blackstone-Millville - Blackstone Millville RHS,06220505,     426,      57,   9.9,   7.5,   0.0,   0.0,   0.0,   0.0,   0.0
3.1423149905123333,3.14,a-phys-i1,2021-22,Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,     408,      71,  14.0,   6.4,   0.0,   0.0,   1.0,   0.2,   0.0
NA,NA,a-phys-i1,2021-22,Blackstone-Millville - John F Kennedy Elementary,06220008,     109,       3,"","","","","","",""
7.544592030360532,5,a-phys-i1,2021-22,Blackstone-Millville - Millville Elementary,06220010,     317,       6,   1.3,   0.6,   0.0,   0.0,   0.0,   0.0,   0.0
4.812144212523719,4.81,a-phys-i1,2021-22,Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,     918,      40,   0.0,   4.2,   0.0,   0.0,   0.1,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Boston - Adams Elementary School,00350302,     283,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Boston - Alighieri Dante Montessori School,00350066,     111,       0,"","","","","","",""
1.2447817836812136,1.24,a-phys-i1,2021-22,Boston - Another Course To College,00350541,     269,      28,   0.0,   8.9,   0.0,   0.0,   5.6,   0.4,   0.0
NA,NA,a-phys-i1,2021-22,Boston - Baldwin Early Learning Pilot Academy,00350003,     167,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Boston - Bates Elementary School,00350278,     248,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Boston - Beethoven Elementary School,00350021,     298,       0,"","","","","","",""
6.861480075901328,5,a-phys-i1,2021-22,Boston - Blackstone Elementary School,00350390,     531,       8,   0.0,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Boston - Boston Adult Tech Academy,00350548,     219,       0,"","","","","","",""
6.633776091081593,5,a-phys-i1,2021-22,Boston - Boston Arts Academy,00350546,     492,      14,   0.0,   1.8,   0.0,   0.0,   1.6,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Boston - Boston Collaborative High School,00350755,     231,       0,"","","","","","",""
3.5977229601518026,3.6,a-phys-i1,2021-22,Boston - Boston Community Leadership Academy,00350558,     757,      48,   0.5,   5.8,   0.0,   0.0,   0.5,   0.0,   0.0
6.40607210626186,5,a-phys-i1,2021-22,Boston - Boston International High School & Newcomers Academy,00350507,     577,      13,   0.2,   2.1,   0.0,   0.0,   0.2,   0.0,   0.0
