Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Nonbinary
NA,NA,"",2024-25,Beverly - Cove Elementary,00300015,   0.3,   1.0,   3.8,  18.0,   4.6,   0.0,  72.3,  46.2,  53.8,   0.0
NA,NA,"",2024-25,Beverly - Hannah Elementary,00300033,   0.6,   3.5,   1.9,  12.5,   4.8,   0.0,  76.6,  46.8,  52.9,   0.3
NA,NA,"",2024-25,Beverly - McKeown School,00300002,   0.0,   1.6,   7.2,  17.6,   4.0,   0.0,  69.6,  52.0,  48.0,   0.0
NA,NA,"",2024-25,Beverly - North Beverly Elementary,00300040,   0.0,   4.5,   3.7,  13.5,   3.9,   0.6,  73.9,  44.7,  55.3,   0.0
NA,NA,"",2024-25,Billerica - Billerica Memorial High School,00310505,   0.3,  11.5,   8.4,  11.8,   3.7,   0.1,  64.2,  50.9,  48.9,   0.2
NA,NA,"",2024-25,Billerica - Frederick J Dutile,00310007,   0.0,  13.2,   7.7,   8.4,   4.2,   0.0,  66.5,  47.4,  52.6,   0.0
NA,NA,"",2024-25,Billerica - Hajjar Elementary,00310026,   0.7,  11.2,   6.0,  19.0,   3.7,   0.2,  59.1,  50.4,  49.4,   0.2
NA,NA,"",2024-25,Billerica - John F Kennedy,00310012,   1.2,   3.6,   1.2,   8.5,   2.7,   0.0,  82.7,  51.2,  48.8,   0.0
NA,NA,"",2024-25,Billerica - Locke Middle,00310310,   0.0,   9.8,   2.8,   8.7,   5.3,   0.0,  73.4,  49.5,  50.5,   0.0
NA,NA,"",2024-25,Billerica - Marshall Middle School,00310305,   0.5,   8.9,   8.1,  13.6,   2.9,   0.2,  65.9,  54.5,  45.5,   0.0
